symbol,date,price
FND9381.NZ,2026-02-20,1.1696
FND9381.NZ,2026-02-23,1.1688
FND9381.NZ,2026-02-24,1.1697
FND9381.NZ,2026-02-25,1.1688
FND9381.NZ,2026-02-26,1.1696
FND9381.NZ,2026-02-27,1.171
FND9381.NZ,2026-03-02,1.1704
FND9381.NZ,2026-03-03,1.1679
FND9381.NZ,2026-03-04,1.1674
FND9381.NZ,2026-03-05,1.1645
FND9381.NZ,2026-03-06,1.1622
FND9381.NZ,2026-03-09,1.151
FND9381.NZ,2026-03-10,1.1572
FND9381.NZ,2026-03-11,1.1581
FND9381.NZ,2026-03-12,1.1528
FND9381.NZ,2026-03-13,1.1526
FND9381.NZ,2026-03-16,1.1489
FND9381.NZ,2026-03-17,1.1519
FND9381.NZ,2026-03-18,1.1567
FND9381.NZ,2026-03-19,1.1517
FND9381.NZ,2026-03-20,1.1465
FND9381.NZ,2026-03-23,1.139
FND9381.NZ,2026-03-24,1.1419
FND9381.NZ,2026-03-25,1.1482
FND9381.NZ,2026-03-26,1.148
FND9381.NZ,2026-03-27,1.1455
FND9381.NZ,2026-03-30,1.1451
FND9381.NZ,2026-03-31,1.1484
FND9381.NZ,2026-04-01,1.1556
FND9381.NZ,2026-04-02,1.1493
FND9381.NZ,2026-04-07,1.151
FND9381.NZ,2026-04-08,1.1554
FND9381.NZ,2026-04-09,1.1509
FND9381.NZ,2026-04-10,1.1517
FND9381.NZ,2026-04-13,1.1488
FND9381.NZ,2026-04-14,1.1538
FND9381.NZ,2026-04-15,1.156
FND9381.NZ,2026-04-16,1.1565
FND9381.NZ,2026-04-17,1.1553
FND9381.NZ,2026-04-20,1.1601
FND9381.NZ,2026-04-21,1.1586
FND9381.NZ,2026-04-22,1.156
FND9381.NZ,2026-04-23,1.1538
FND9381.NZ,2026-04-24,1.1546
FND9381.NZ,2026-04-28,1.1528
FND9381.NZ,2026-04-29,1.1552
FND9381.NZ,2026-04-30,1.1531
FND9381.NZ,2026-05-01,1.1562
FND9381.NZ,2026-05-04,1.1577
FND9381.NZ,2026-05-05,1.1583
FND9381.NZ,2026-05-06,1.1578
FND9381.NZ,2026-05-07,1.1598
FND9381.NZ,2026-05-08,1.1562
FND9381.NZ,2026-05-11,1.1572
FND9381.NZ,2026-05-12,1.1543
FND9381.NZ,2026-05-13,1.1523
FND9381.NZ,2026-05-14,1.154
FND9381.NZ,2026-05-15,1.1528
