symbol,date,price
FND37633.NZ,2022-04-11,4.49
FND37633.NZ,2022-04-13,4.52
FND37633.NZ,2022-04-20,4.52
FND37633.NZ,2022-04-27,4.23
FND37633.NZ,2022-04-30,4.17
FND37633.NZ,2022-05-02,4.2
FND37633.NZ,2022-05-04,4.35
FND37633.NZ,2022-05-09,4.02
FND37633.NZ,2022-05-11,3.97
FND37633.NZ,2022-05-16,4.05
FND37633.NZ,2022-05-18,3.96
FND37633.NZ,2022-05-23,4.01
FND37633.NZ,2022-05-25,4.01
FND37633.NZ,2022-05-30,4.19
FND37633.NZ,2022-05-31,4.17
FND37633.NZ,2022-06-01,4.13
FND37633.NZ,2022-06-08,4.15
FND37633.NZ,2022-06-13,3.76
FND37633.NZ,2022-06-15,3.81
FND37633.NZ,2022-06-20,3.69
FND37633.NZ,2022-06-22,3.77
FND37633.NZ,2022-06-27,3.92
FND37633.NZ,2022-06-29,3.83
FND37633.NZ,2022-06-30,3.8
FND37633.NZ,2022-07-04,3.84
FND37633.NZ,2022-07-06,3.86
FND37633.NZ,2022-07-11,3.87
FND37633.NZ,2022-07-13,3.82
FND37633.NZ,2022-07-18,3.83
FND37633.NZ,2022-07-20,3.96
FND37633.NZ,2022-07-25,3.97
FND37633.NZ,2022-07-27,4.02
FND37633.NZ,2022-07-31,4.13
FND37633.NZ,2022-08-01,4.12
FND37633.NZ,2022-08-03,4.16
FND37633.NZ,2022-08-08,4.14
FND37633.NZ,2022-08-10,4.21
FND37633.NZ,2022-08-15,4.3
FND37633.NZ,2022-08-17,4.27
FND37633.NZ,2022-08-22,4.13
FND37633.NZ,2022-08-24,4.14
FND37633.NZ,2022-08-29,4.03
FND37633.NZ,2022-08-31,3.95
FND37633.NZ,2022-09-05,3.92
FND37633.NZ,2022-09-07,3.98
FND37633.NZ,2022-09-12,4.11
FND37633.NZ,2022-09-14,3.94
FND37633.NZ,2022-09-19,3.9
FND37633.NZ,2022-09-21,3.78
FND37633.NZ,2022-09-28,3.7
FND37633.NZ,2022-09-30,3.57
FND37633.NZ,2022-10-03,3.67
FND37633.NZ,2022-10-05,3.77
FND37633.NZ,2022-10-10,3.59
FND37633.NZ,2022-10-12,3.54
FND37633.NZ,2022-10-17,3.65
FND37633.NZ,2022-10-19,3.66
FND37633.NZ,2022-10-26,3.8
FND37633.NZ,2022-10-31,3.84
FND37633.NZ,2022-11-02,3.73
FND37633.NZ,2022-11-07,3.78
FND37633.NZ,2022-11-09,3.72
FND37633.NZ,2022-11-14,3.92
FND37633.NZ,2022-11-16,3.92
FND37633.NZ,2022-11-21,3.91
FND37633.NZ,2022-11-23,3.98
FND37633.NZ,2022-11-28,3.92
FND37633.NZ,2022-11-30,4.04
FND37633.NZ,2022-12-05,3.96
FND37633.NZ,2022-12-07,3.9
FND37633.NZ,2022-12-12,3.95
FND37633.NZ,2022-12-14,3.96
FND37633.NZ,2022-12-19,3.78
FND37633.NZ,2022-12-21,3.83
FND37633.NZ,2022-12-28,3.73
FND37633.NZ,2022-12-31,3.78
FND37633.NZ,2023-01-04,3.79
FND37633.NZ,2023-01-09,3.83
FND37633.NZ,2023-01-11,3.91
FND37633.NZ,2023-01-16,3.94
FND37633.NZ,2023-01-18,3.86
FND37633.NZ,2023-01-23,3.96
FND37633.NZ,2023-01-25,3.95
FND37633.NZ,2023-01-30,3.96
FND37633.NZ,2023-01-31,4.01
FND37633.NZ,2023-02-01,4.06
FND37633.NZ,2023-02-08,4.06
FND37633.NZ,2023-02-13,4.08
FND37633.NZ,2023-02-15,4.09
FND37633.NZ,2023-02-20,4.02
FND37633.NZ,2023-02-22,3.93
FND37633.NZ,2023-02-27,3.92
FND37633.NZ,2023-02-28,3.91
FND37633.NZ,2023-03-01,3.89
FND37633.NZ,2023-03-06,3.99
FND37633.NZ,2023-03-08,3.93
FND37633.NZ,2023-03-13,3.8
FND37633.NZ,2023-03-15,3.84
FND37633.NZ,2023-03-20,3.9
FND37633.NZ,2023-03-22,3.88
FND37633.NZ,2023-03-27,3.92
