symbol,date,price
FND8207.NZ,2022-01-05,1.4913
FND8207.NZ,2022-01-06,1.4714
FND8207.NZ,2022-01-07,1.4693
FND8207.NZ,2022-01-10,1.4639
FND8207.NZ,2022-01-11,1.4599
FND8207.NZ,2022-01-12,1.4708
FND8207.NZ,2022-01-13,1.4737
FND8207.NZ,2022-01-14,1.4606
FND8207.NZ,2022-01-17,1.4609
FND8207.NZ,2022-01-18,1.4641
FND8207.NZ,2022-01-19,1.4431
FND8207.NZ,2022-01-20,1.4312
FND8207.NZ,2022-01-21,1.4247
FND8207.NZ,2022-01-24,1.4054
FND8207.NZ,2022-01-25,1.3987
FND8207.NZ,2022-01-26,1.3878
FND8207.NZ,2022-01-27,1.3867
FND8207.NZ,2022-01-28,1.3824
FND8207.NZ,2022-01-31,1.4052
FND8207.NZ,2022-02-01,1.4288
FND8207.NZ,2022-02-02,1.4353
FND8207.NZ,2022-02-03,1.4442
FND8207.NZ,2022-02-04,1.4152
FND8207.NZ,2022-02-08,1.4232
FND8207.NZ,2022-02-09,1.4305
FND8207.NZ,2022-02-10,1.448
FND8207.NZ,2022-02-11,1.4313
FND8207.NZ,2022-02-14,1.4133
FND8207.NZ,2022-02-16,1.4235
FND8207.NZ,2022-02-17,1.4255
FND8207.NZ,2022-02-18,1.4001
FND8207.NZ,2022-02-21,1.3898
FND8207.NZ,2022-02-22,1.3829
FND8207.NZ,2022-02-23,1.3695
FND8207.NZ,2022-02-24,1.3509
FND8207.NZ,2022-02-25,1.3567
