symbol,date,price
FND1423.NZ,2024-04-04,1.8775
FND1423.NZ,2024-04-05,1.8734
FND1423.NZ,2024-04-08,1.8688
FND1423.NZ,2024-04-09,1.8558
FND1423.NZ,2024-04-10,1.8611
FND1423.NZ,2024-04-11,1.8565
FND1423.NZ,2024-04-12,1.8568
FND1423.NZ,2024-04-15,1.8502
FND1423.NZ,2024-04-16,1.8293
FND1423.NZ,2024-04-17,1.8385
FND1423.NZ,2024-04-18,1.8339
FND1423.NZ,2024-04-19,1.8266
FND1423.NZ,2024-04-22,1.8364
FND1423.NZ,2024-04-23,1.8275
FND1423.NZ,2024-04-24,1.8427
FND1423.NZ,2024-04-26,1.823
FND1423.NZ,2024-04-29,1.8353
FND1423.NZ,2024-04-30,1.8389
FND1423.NZ,2024-05-01,1.8229
FND1423.NZ,2024-05-02,1.8242
FND1423.NZ,2024-05-03,1.8319
FND1423.NZ,2024-05-06,1.8099
FND1423.NZ,2024-05-07,1.8082
FND1423.NZ,2024-05-08,1.8036
FND1423.NZ,2024-05-09,1.7985
FND1423.NZ,2024-05-10,1.798
FND1423.NZ,2024-05-13,1.7821
FND1423.NZ,2024-05-14,1.7756
FND1423.NZ,2024-05-15,1.7618
FND1423.NZ,2024-05-16,1.7942
FND1423.NZ,2024-05-17,1.7889
FND1423.NZ,2024-05-20,1.7964
FND1423.NZ,2024-05-21,1.7951
FND1423.NZ,2024-05-22,1.7996
FND1423.NZ,2024-05-23,1.8122
FND1423.NZ,2024-05-24,1.8078
FND1423.NZ,2024-05-28,1.7985
FND1423.NZ,2024-05-29,1.7898
FND1423.NZ,2024-05-30,1.7701
FND1423.NZ,2024-05-31,1.8114
FND1423.NZ,2024-06-04,1.8141
FND1423.NZ,2024-06-05,1.8214
FND1423.NZ,2024-06-06,1.821
FND1423.NZ,2024-06-07,1.8079
FND1423.NZ,2024-06-10,1.7989
FND1423.NZ,2024-06-11,1.8035
FND1423.NZ,2024-06-12,1.7914
FND1423.NZ,2024-06-13,1.8106
FND1423.NZ,2024-06-14,1.807
FND1423.NZ,2024-06-17,1.778
FND1423.NZ,2024-06-18,1.7833
FND1423.NZ,2024-06-19,1.7677
FND1423.NZ,2024-06-20,1.7828
FND1423.NZ,2024-06-21,1.7782
FND1423.NZ,2024-06-24,1.7689
FND1423.NZ,2024-06-25,1.7781
FND1423.NZ,2024-06-26,1.7935
FND1423.NZ,2024-06-27,1.7745
FND1423.NZ,2024-07-01,1.7866
FND1423.NZ,2024-07-02,1.789
FND1423.NZ,2024-07-03,1.7895
FND1423.NZ,2024-07-04,1.7822
FND1423.NZ,2024-07-05,1.7897
FND1423.NZ,2024-07-08,1.7838
FND1423.NZ,2024-07-09,1.7999
FND1423.NZ,2024-07-10,1.8098
FND1423.NZ,2024-07-11,1.8298
FND1423.NZ,2024-07-12,1.8522
FND1423.NZ,2024-07-15,1.8506
FND1423.NZ,2024-07-16,1.8574
FND1423.NZ,2024-07-17,1.8773
FND1423.NZ,2024-07-18,1.8873
FND1423.NZ,2024-07-19,1.8861
FND1423.NZ,2024-07-22,1.8889
FND1423.NZ,2024-07-23,1.9049
FND1423.NZ,2024-07-24,1.9216
FND1423.NZ,2024-07-25,1.9002
FND1423.NZ,2024-07-26,1.8987
FND1423.NZ,2024-07-29,1.8929
FND1423.NZ,2024-07-30,1.9027
FND1423.NZ,2024-07-31,1.9063
FND1423.NZ,2024-08-01,1.9174
FND1423.NZ,2024-08-02,1.9113
FND1423.NZ,2024-08-05,1.886
FND1423.NZ,2024-08-06,1.8788
FND1423.NZ,2024-08-07,1.8869
FND1423.NZ,2024-08-08,1.8779
FND1423.NZ,2024-08-09,1.8794
FND1423.NZ,2024-08-12,1.8836
FND1423.NZ,2024-08-13,1.8937
FND1423.NZ,2024-08-14,1.9385
FND1423.NZ,2024-09-03,1.9124
FND1423.NZ,2024-09-04,1.9088
FND1423.NZ,2024-09-05,1.9283
FND1423.NZ,2024-09-06,1.9171
FND1423.NZ,2024-09-09,1.9154
FND1423.NZ,2024-09-10,1.9204
FND1423.NZ,2024-09-11,1.9196
FND1423.NZ,2024-09-12,1.9435
FND1423.NZ,2024-09-13,1.9466
FND1423.NZ,2024-09-16,1.9251
FND1423.NZ,2024-09-17,1.9217
FND1423.NZ,2024-09-18,1.9104
FND1423.NZ,2024-09-19,1.9231
FND1423.NZ,2024-09-20,1.9014
FND1423.NZ,2024-09-23,1.8872
FND1423.NZ,2024-09-24,1.8794
FND1423.NZ,2024-09-25,1.8505
FND1423.NZ,2024-09-26,1.8809
FND1423.NZ,2024-09-27,1.8812
FND1423.NZ,2024-09-30,1.8849
FND1423.NZ,2024-10-01,1.8912
FND1423.NZ,2024-10-02,1.89
FND1423.NZ,2024-10-03,1.9048
FND1423.NZ,2024-10-04,1.9133
FND1423.NZ,2024-10-08,1.9128
FND1423.NZ,2024-10-09,1.9449
FND1423.NZ,2024-10-10,1.9394
FND1423.NZ,2024-10-11,1.9504
FND1423.NZ,2024-10-14,1.9403
FND1423.NZ,2024-10-15,1.9498
FND1423.NZ,2024-10-16,1.9209
FND1423.NZ,2024-10-17,1.9393
FND1423.NZ,2024-10-18,1.9454
FND1423.NZ,2024-10-21,1.9581
FND1423.NZ,2024-10-22,1.9403
FND1423.NZ,2024-10-23,1.9394
FND1423.NZ,2024-10-24,1.9398
FND1423.NZ,2024-10-25,1.9348
FND1423.NZ,2024-10-29,1.9388
FND1423.NZ,2024-10-30,1.9282
FND1423.NZ,2024-10-31,1.9184
FND1423.NZ,2024-11-04,1.9064
FND1423.NZ,2024-11-05,1.9131
FND1423.NZ,2024-11-06,1.9153
FND1423.NZ,2024-11-07,1.9037
FND1423.NZ,2024-11-08,1.9288
FND1423.NZ,2024-11-11,1.9155
FND1423.NZ,2024-11-12,1.9224
FND1423.NZ,2024-11-13,1.9152
FND1423.NZ,2024-11-14,1.921
FND1423.NZ,2024-11-15,1.9163
FND1423.NZ,2024-11-19,1.9342
FND1423.NZ,2024-11-20,1.9243
FND1423.NZ,2024-11-21,1.9306
FND1423.NZ,2024-11-22,1.9656
FND1423.NZ,2024-11-25,1.9837
FND1423.NZ,2024-11-26,1.981
FND1423.NZ,2024-11-27,1.9905
FND1423.NZ,2024-11-28,1.9668
FND1423.NZ,2024-11-29,1.971
FND1423.NZ,2024-12-02,1.9708
FND1423.NZ,2024-12-03,1.971
FND1423.NZ,2024-12-04,1.9386
FND1423.NZ,2024-12-05,1.9439
FND1423.NZ,2024-12-06,1.9346
FND1423.NZ,2024-12-09,1.9257
FND1423.NZ,2024-12-10,1.9177
FND1423.NZ,2024-12-11,1.9208
FND1423.NZ,2024-12-12,1.9166
FND1423.NZ,2024-12-13,1.9233
FND1423.NZ,2024-12-16,1.9205
FND1423.NZ,2024-12-17,1.9375
FND1423.NZ,2024-12-18,1.9324
FND1423.NZ,2024-12-19,1.9171
FND1423.NZ,2024-12-20,1.9339
FND1423.NZ,2024-12-23,1.9479
FND1423.NZ,2024-12-24,1.9583
FND1423.NZ,2024-12-27,1.9767
FND1423.NZ,2024-12-30,1.9846
FND1423.NZ,2024-12-31,1.9593
FND1423.NZ,2025-01-03,1.9604
FND1423.NZ,2025-01-06,1.9564
FND1423.NZ,2025-01-07,1.9534
FND1423.NZ,2025-01-08,1.9577
FND1423.NZ,2025-01-09,1.9454
FND1423.NZ,2025-01-10,1.9369
FND1423.NZ,2025-01-13,1.9257
FND1423.NZ,2025-01-14,1.9318
FND1423.NZ,2025-01-15,1.9433
FND1423.NZ,2025-01-16,1.9536
FND1423.NZ,2025-01-17,1.9668
FND1423.NZ,2025-01-20,1.9579
FND1423.NZ,2025-01-21,1.9577
FND1423.NZ,2025-01-22,1.9585
FND1423.NZ,2025-01-23,1.9526
FND1423.NZ,2025-01-27,1.9448
FND1423.NZ,2025-01-28,1.9486
FND1423.NZ,2025-01-29,1.9566
FND1423.NZ,2025-01-30,1.9509
FND1423.NZ,2025-01-31,1.9617
FND1423.NZ,2025-02-03,1.946
FND1423.NZ,2025-02-04,1.9588
FND1423.NZ,2025-02-05,1.9608
FND1423.NZ,2025-02-07,1.9646
FND1423.NZ,2025-02-10,1.9628
FND1423.NZ,2025-02-11,1.9678
FND1423.NZ,2025-02-12,1.9708
FND1423.NZ,2025-02-13,1.97
FND1423.NZ,2025-02-14,1.9798
FND1423.NZ,2025-02-17,2.0004
FND1423.NZ,2025-02-18,2.0014
FND1423.NZ,2025-02-19,2.0004
FND1423.NZ,2025-02-20,1.9803
FND1423.NZ,2025-02-21,1.9584
FND1423.NZ,2025-02-24,1.9241
FND1423.NZ,2025-02-25,1.8773
FND1423.NZ,2025-02-26,1.903
FND1423.NZ,2025-02-27,1.9153
FND1423.NZ,2025-02-28,1.9277
FND1423.NZ,2025-03-03,1.9241
FND1423.NZ,2025-03-04,1.912
FND1423.NZ,2025-03-05,1.8978
FND1423.NZ,2025-03-06,1.9016
FND1423.NZ,2025-03-07,1.8962
FND1423.NZ,2025-03-10,1.913
FND1423.NZ,2025-03-11,1.8983
FND1423.NZ,2025-03-12,1.8812
FND1423.NZ,2025-03-13,1.8742
FND1423.NZ,2025-03-14,1.8861
FND1423.NZ,2025-03-17,1.8694
FND1423.NZ,2025-03-18,1.8255
FND1423.NZ,2025-03-19,1.8144
FND1423.NZ,2025-03-20,1.819
FND1423.NZ,2025-03-21,1.8279
FND1423.NZ,2025-03-24,1.8252
FND1423.NZ,2025-03-25,1.8322
FND1423.NZ,2025-03-26,1.8448
FND1423.NZ,2025-03-27,1.8455
FND1423.NZ,2025-03-28,1.845
FND1423.NZ,2025-03-31,1.8416
FND1423.NZ,2025-04-01,1.847
FND1423.NZ,2025-04-02,1.8432
FND1423.NZ,2025-04-03,1.8475
FND1423.NZ,2025-04-04,1.8313
FND1423.NZ,2025-04-07,1.7632
FND1423.NZ,2025-04-08,1.7822
FND1423.NZ,2025-04-10,1.8217
FND1423.NZ,2025-04-11,1.7982
FND1423.NZ,2025-04-14,1.8086
FND1423.NZ,2025-04-15,1.7961
FND1423.NZ,2025-04-16,1.8021
FND1423.NZ,2025-04-17,1.812
FND1423.NZ,2025-04-22,1.7728
FND1423.NZ,2025-04-23,1.7788
FND1423.NZ,2025-04-24,1.7916
FND1423.NZ,2025-04-28,1.7979
FND1423.NZ,2025-04-29,1.7927
FND1423.NZ,2025-04-30,1.7765
FND1423.NZ,2025-05-01,1.8112
FND1423.NZ,2025-05-05,1.8483
FND1423.NZ,2025-05-06,1.8442
FND1423.NZ,2025-05-07,1.8565
FND1423.NZ,2025-05-08,1.862
FND1423.NZ,2025-05-09,1.8801
FND1423.NZ,2025-05-12,1.8966
